21:40,44.9,1120.0,979.8,1074.5
21:50,44.5,1108.1,993.3,1062.6
22,44.0,1117.1,983.5,1058.3
22:10,43.6,1112.1,963.8,1053.9
22:20,43.3,1102.2,967.5,1039.3
22:30,42.5,1109.7,951.4,1046.5
22:40,42.4,1103.4,969.9,1043.0
22:50,42.6,1116.2,959.3,1038.4
23,41.1,1096.2,963.7,1029.4
23:10,41.4,1090.4,957.2,1023.8
23:20,40.8,1083.0,941.4,1008.6
23:30,40.1,1073.3,939.1,1005.5
23:40,39.9,1059.5,931.2,997.2
23:50,39.7,1058.6,923.1,988.6
