01:00,nuclear,核二#1,985.0,851.3,86.426%,燃料限制
01:00,nuclear,核二#2,985.0,970.6,98.538%,
01:00,nuclear,核三#1,951.0,947.2,99.600%,
01:00,nuclear,核三#2,951.0,943.8,99.243%,
01:00,nuclear,小計,3872.0(7.793%),3712.9(13.138%),,
01:00,coal,林口#1,800.0,754.4,94.300%,
01:00,coal,林口#2,800.0,758.2,94.775%,
01:00,coal,林口#3,800.0,747.6,93.450%,
01:00,coal,台中#1,550.0,504.8,91.782%,運轉限制
01:00,coal,台中#2,550.0,524.4,95.345%,
01:00,coal,台中#3,550.0,521.4,94.800%,運轉限制
01:00,coal,台中#4,550.0,513.7,93.400%,
01:00,coal,台中#5,550.0,531.4,96.618%,
01:00,coal,台中#6,550.0,0.0,0.000%,環保停機檢修
01:00,coal,台中#7,550.0,521.4,94.800%,
01:00,coal,台中#8,550.0,529.8,96.327%,
01:00,coal,台中#9,550.0,119.5,21.727%,測試運轉
01:00,coal,台中#10,550.0,522.0,94.909%,
01:00,coal,興達#1(註12),500.0,471.4,94.280%,運轉限制
01:00,coal,興達#2(註12),500.0,475.2,95.040%,
01:00,coal,興達#3(註12),550.0,520.6,94.655%,
01:00,coal,興達#4(註12),550.0,520.2,94.582%,
01:00,coal,大林#1,800.0,755.5,94.438%,
01:00,coal,大林#2,800.0,761.8,95.225%,
01:00,coal,小計,11600.0(23.347%),10053.3(35.574%),,
01:00,cogen,汽電共生,618.0,1193.5,-,
01:00,cogen,小計,618.0(1.244%),1193.5(4.223%),,
01:00,ippcoal,和平#1,648.6,567.5,87.503%,
01:00,ippcoal,和平#2,648.6,567.3,87.472%,
01:00,ippcoal,麥寮#1,600.0,571.8,95.300%,
01:00,ippcoal,麥寮#2,600.0,567.5,94.583%,
01:00,ippcoal,麥寮#3,600.0,419.8,69.967%,運轉限制
01:00,ippcoal,小計,3097.1(6.234%),2693.9(9.533%),,
01:00,lng,大潭CC#1,742.7,674.7,90.844%,
01:00,lng,大潭CC#2,742.7,620.2,83.506%,
01:00,lng,大潭CC#3,724.7,641.4,88.506%,
01:00,lng,大潭CC#4,724.7,681.1,93.984%,
01:00,lng,大潭CC#5,724.7,667.2,92.066%,
01:00,lng,大潭CC#6,724.7,0.0,0.000%,歲修
01:00,lng,大潭CC#7,600.0,0.0,0.000%,部分檢修
01:00,lng,通霄CC#1,892.6,883.7,99.003%,
01:00,lng,通霄CC#2,892.6,873.7,97.883%,
01:00,lng,通霄CC#3,892.6,874.5,97.972%,
01:00,lng,通霄CC#4,386.0,334.5,86.658%,
01:00,lng,通霄CC#5,386.0,318.8,82.591%,
01:00,lng,通霄CC#6,321.2,349.5,108.811%,
01:00,lng,興達CC#1,445.2,405.6,91.107%,
01:00,lng,興達CC#2,445.2,0.0,0.000%,歲修
01:00,lng,興達CC#3,445.2,397.6,89.310%,
01:00,lng,興達CC#4,445.2,392.8,88.232%,
01:00,lng,興達CC#5,445.2,399.1,89.647%,
01:00,lng,南部CC#1,288.8,295.7,102.389%,
01:00,lng,南部CC#2,288.8,277.8,96.191%,
01:00,lng,南部CC#3,288.8,260.0,90.028%,
01:00,lng,南部CC#4,251.4,0.0,0.000%,檢修
01:00,lng,大林#5,500.0,144.2,28.840%,運轉限制
01:00,lng,大林#6,550.0,0.0,0.000%,歲修
01:00,lng,小計,13149.0(26.465%),9492.1(33.589%),,
01:00,ipplng,海湖#1,450.0,0.0,0.000%,合約限制
01:00,ipplng,海湖#2,450.0,453.1,100.689%,
01:00,ipplng,新桃#1,600.0,0.0,0.000%,檢修
01:00,ipplng,國光#1,480.0,0.0,0.000%,
01:00,ipplng,星彰#1,506.9,0.0,0.000%,合約限制
01:00,ipplng,星元#1,490.0,0.0,0.000%,部分故障
01:00,ipplng,嘉惠#1,670.0,0.0,0.000%,檢修
01:00,ipplng,嘉惠#2(註10),-,0.0,0.000%,
01:00,ipplng,豐德#1,506.9,0.0,0.000%,合約限制
01:00,ipplng,豐德#2,506.9,0.0,0.000%,合約限制
01:00,ipplng,小計,4660.6(9.380%),453.1(1.603%),,
01:00,oil,協和#3,500.0,133.5,26.700%,環保限制
01:00,oil,協和#4,500.0,0.0,0.000%,歲修
01:00,oil,小計,1000.0(2.013%),133.5(0.472%),,
01:00,diesel,核二Gas1,-,0.0,0.000%,
01:00,diesel,核二Gas2,-,0.0,0.000%,
01:00,diesel,核三Gas1,-,0.0,0.000%,
01:00,diesel,核三Gas2,-,0.0,0.000%,
01:00,diesel,台中Gas1&amp;2,140.0,0.0,0.000%,
01:00,diesel,台中Gas3&amp;4,140.0,0.0,0.000%,
01:00,diesel,澎湖尖山(註4),129.8,64.0,49.307%,
01:00,diesel,金門塔山(註4),113.3,38.2,33.718%,
01:00,diesel,馬祖珠山(註4),28.6,6.0,20.950%,
01:00,diesel,離島其他(註4),42.7,N/A,N/A,
01:00,diesel,小計(註5),594.4(1.196%),108.2(0.383%),,
01:00,hydro,德基#1,78.0,0.0,0.000%,
01:00,hydro,德基#2,78.0,0.0,0.000%,
01:00,hydro,德基#3,78.0,0.0,0.000%,
01:00,hydro,青山#1,92.0,0.0,0.000%,
01:00,hydro,青山#2,92.0,5.7,6.196%,
01:00,hydro,青山#3,92.0,0.0,0.000%,
01:00,hydro,青山#4,92.0,6.1,6.630%,
01:00,hydro,谷關#1,54.4,14.8,27.181%,
01:00,hydro,谷關#2,54.4,0.0,0.000%,
01:00,hydro,谷關#3,54.4,0.0,0.000%,歲修
01:00,hydro,谷關#4,54.4,0.0,0.000%,
